video_path,ground_truth,predicted_label,match
C:\Users\anaba\OneDrive\Desktop\Master Thesis\bias-action-recognition\framework\models\tc-clip\maxed_out_distributions_on_kinetics_konzerthaus\cartwheel\cartwheel_0_initial.mp4,cartwheel,cartwheel,True
C:\Users\anaba\OneDrive\Desktop\Master Thesis\bias-action-recognition\framework\models\tc-clip\maxed_out_distributions_on_kinetics_konzerthaus\cartwheel\cartwheel_0_modified_african.mp4,cartwheel,cartwheel,True
C:\Users\anaba\OneDrive\Desktop\Master Thesis\bias-action-recognition\framework\models\tc-clip\maxed_out_distributions_on_kinetics_konzerthaus\cartwheel\cartwheel_0_modified_asian.mp4,cartwheel,cartwheel,True
C:\Users\anaba\OneDrive\Desktop\Master Thesis\bias-action-recognition\framework\models\tc-clip\maxed_out_distributions_on_kinetics_konzerthaus\cartwheel\cartwheel_0_modified_hispanic.mp4,cartwheel,cartwheel,True
C:\Users\anaba\OneDrive\Desktop\Master Thesis\bias-action-recognition\framework\models\tc-clip\maxed_out_distributions_on_kinetics_konzerthaus\cartwheel\cartwheel_0_modified_indian.mp4,cartwheel,cartwheel,True
C:\Users\anaba\OneDrive\Desktop\Master Thesis\bias-action-recognition\framework\models\tc-clip\maxed_out_distributions_on_kinetics_konzerthaus\cartwheel\cartwheel_0_modified_middle_eastern.mp4,cartwheel,cartwheel,True
C:\Users\anaba\OneDrive\Desktop\Master Thesis\bias-action-recognition\framework\models\tc-clip\maxed_out_distributions_on_kinetics_konzerthaus\cartwheel\cartwheel_0_modified_south_east_asian.mp4,cartwheel,cartwheel,True
C:\Users\anaba\OneDrive\Desktop\Master Thesis\bias-action-recognition\framework\models\tc-clip\maxed_out_distributions_on_kinetics_konzerthaus\cartwheel\cartwheel_10_initial.mp4,cartwheel,cartwheel,True
C:\Users\anaba\OneDrive\Desktop\Master Thesis\bias-action-recognition\framework\models\tc-clip\maxed_out_distributions_on_kinetics_konzerthaus\cartwheel\cartwheel_10_modified_african.mp4,cartwheel,cartwheel,True
C:\Users\anaba\OneDrive\Desktop\Master Thesis\bias-action-recognition\framework\models\tc-clip\maxed_out_distributions_on_kinetics_konzerthaus\cartwheel\cartwheel_10_modified_asian.mp4,cartwheel,cartwheel,True
